#                  name    selected    is_new    is_existing    initial_state_index    initial_state_name    initial_state_configname           normal_coordinate(0)       normal_coordinate(1)       normal_coordinate(2)       normal_coordinate(3)       normal_coordinate(4)       normal_coordinate(5)           dof_strain(GL,0)       dof_strain(GL,1)       dof_strain(GL,2)       dof_strain(GL,3)       dof_strain(GL,4)       dof_strain(GL,5)           dof_strain(F,0)       dof_strain(F,1)       dof_strain(F,2)       dof_strain(F,3)       dof_strain(F,4)       dof_strain(F,5)       dof_strain(F,6)       dof_strain(F,7)       dof_strain(F,8)
    SCEL1_1_1_1_0_0_0/13          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.10000000  0.00000000  0.00000000  0.00000000  0.10000000  0.10000000                                                                        0.10000000  -0.00000000  -0.00000000  -0.00000000  0.10000000  0.10000000                                                                                             1.09124387  0.06777468  0.06777468  0.06777468  0.99769800  -0.00230200  0.06777468  -0.00230200  0.99769800
    SCEL1_1_1_1_0_0_0/11          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.00000000  0.10000000  0.00000000  0.00000000  0.10000000  0.10000000                                                                        0.00000000  0.10000000  0.00000000  -0.00000000  0.10000000  0.10000000                                                                                               0.99516634  0.06779239  0.07105036  0.06779239  1.09334299  -0.00230373  0.07105036  -0.00230373  0.99747007
    SCEL1_1_1_1_0_0_0/14          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.10000000  0.10000000  0.00000000  0.00000000  0.10000000  0.10000000                                                                        0.10000000  0.10000000  0.00000000  -0.00000000  0.10000000  0.10000000                                                                                               1.09142609  0.06479027  0.06775915  0.06479027  1.09352541  -0.00209931  0.06775915  -0.00209931  0.99769950
    SCEL1_1_1_1_0_0_0/11          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.00000000  0.00000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                        0.00000000  0.00000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                                                0.99516634  0.07105036  0.06779239  0.07105036  0.99747007  -0.00230373  0.06779239  -0.00230373  1.09334299
    SCEL1_1_1_1_0_0_0/14          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.10000000  0.00000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                        0.10000000  0.00000000  0.10000000  -0.00000000  0.10000000  0.10000000                                                                                               1.09142609  0.06775915  0.06479027  0.06775915  0.99769950  -0.00209931  0.06479027  -0.00209931  1.09352541
    SCEL1_1_1_1_0_0_0/12          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.00000000  0.10000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                        0.00000000  0.10000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                                                0.99539599  0.06777468  0.06777468  0.06777468  1.09334449  -0.00210062  0.06777468  -0.00210062  1.09334449
    SCEL1_1_1_1_0_0_0/15          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.10000000  0.10000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                        0.10000000  0.10000000  0.10000000  0.00000000  0.10000000  0.10000000                                                                                                1.09160798  0.06477662  0.06477662  0.06477662  1.09352655  -0.00191857  0.06477662  -0.00191857  1.09352655
    SCEL1_1_1_1_0_0_0/16          1         1              0                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.00000000  0.00000000  0.00000000  0.10000000  0.10000000  0.10000000                                                                        0.00000000  -0.00000000  -0.00000000  0.10000000  0.10000000  0.10000000                                                                                              0.99527228  0.06867709  0.06867709  0.06867709  0.99527228  0.06867709  0.06867709  0.06867709  0.99527228
    SCEL1_1_1_1_0_0_0/17          1         1              0                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.10000000  0.00000000  0.00000000  0.10000000  0.10000000  0.10000000                                                                        0.10000000  0.00000000  0.00000000  0.10000000  0.10000000  0.10000000                                                                                                1.09150976  0.06559896  0.06559896  0.06559896  0.99546648  0.06887130  0.06559896  0.06887130  0.99546648
    SCEL1_1_1_1_0_0_0/17          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.00000000  0.10000000  0.00000000  0.10000000  0.10000000  0.10000000                                                                        -0.00000000  0.10000000  -0.00000000  0.10000000  0.10000000  0.10000000                                                                                              0.99546648  0.06559896  0.06887130  0.06559896  1.09150976  0.06559896  0.06887130  0.06559896  0.99546648
    SCEL1_1_1_1_0_0_0/18          1         1              0                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.10000000  0.10000000  0.00000000  0.10000000  0.10000000  0.10000000                                                                        0.10000000  0.10000000  0.00000000  0.10000000  0.10000000  0.10000000                                                                                                1.09166433  0.06279182  0.06577369  0.06279182  1.09166433  0.06577369  0.06577369  0.06577369  0.99566442
    SCEL1_1_1_1_0_0_0/17          1         0              1                      0     SCEL1_1_1_1_0_0_0         SCEL1_1_1_1_0_0_0/0                                                                                                0.00000000  0.00000000  0.10000000  0.10000000  0.10000000  0.10000000                                                                        -0.00000000  -0.00000000  0.10000000  0.10000000  0.10000000  0.10000000                                                                                              0.99546648  0.06887130  0.06559896  0.06887130  0.99546648  0.06559896  0.06559896  0.06559896  1.09150976
